ID,Name,Description,Contributor,Citation,Source,Related,PDF,Tags,Year,Number_Of_Items,Gloss_Language_IDs,Target_Language,List_Suffix,Source_URL,Pages,Alias,Attributes
Lai-2023-291,"Lai, Yunfan and List, Johann-Mattis 2023","This list builds on the [list of 250 items](conceptlists.csv#cldf:Sagart-2019-250) by Sagart et al. that was used to study the evolution of Sino-Tibetan languages. The list is used to assemble data for Rgyalrongic languages, one important branch of Sino-Tibetan.","Lai, Yunfan and List, Johann-Mattis",n.d.,Lai2023,Sagart-2019-250,,basic,2023,291,english,Rgyalrongic languages,,,,,huang_1992_1820 lexibank_gloss
Huisman-2019-110,"Huisman, John L. A. and Majid, Asifa and van Hout, Roeland 2019",This concept list is part of a study on  the influence of geographical configuration on language change using Japan as an example.,"Huisman, John L. A. and Majid, Asifa and van Hout, Roeland",n.d.,Huisman2019,,Huisman2019,basic,2019,110,japanese,English,,,1-18,,romanisation swadesh
Sidwell-2021-116,"Sidwell, Paul and Alves, Mark 2021",This concept list is taken from a dataset on Vietic languages. The authors have also indicated whether the concepts recur in [Swadesh's list of 100](conceptlists.csv#cldf:Swadesh-1955-100) and the [Leipzig-Jakarta list](conceptlists.csv#cldf:Tadmor-2009-100).,"Sidwell, Paul and Alves, Mark",n.d.,Sidwell2021b,Swadesh-1955-100 Tadmor-2009-100,,basic,2021,116,english,Vietic,,,,,leipzig_jakarta semantic_field swadesh_1955_100
Sidwell-2021-100,"Sidwell, Paul 2021",This concept list is taken from a dataset on Nicobarese languages. The author has also indicated whether the concepts recur in [Swadesh's list of 100](conceptlists.csv#cldf:Swadesh-1955-100) and [200 items](conceptlists.csv#cldf:Swadesh-1952-200).,"Sidwell, Paul",n.d.,Sidwell2021,Swadesh-1955-100 Swadesh-1952-200,,basic,2021,100,english,Nicobarese,,,,,swadesh_1952_200 swadesh_1955_100
Bastin-1999-92,"Bastin, Yonne and Coupez, André and Mann, Michael 1999",This concept list was used in a long term study devoted to the investigation of Bantu languages carried out in the 1970s and 1980s. The questionnaire used by the authors was inspired by [Swadesh's list of 100 items](conceptlists.csv#cldf:Swadesh-1955-100).,"Bastin, Yonne and Coupez, André and Mann, Michael",n.d.,Bastin1999,Swadesh-1955-100,Bastin1999,basic,1999,92,french,English,,,4,,
Zanchi-2022-170,"Zanchi, Chiara and Luraghi, Silvia and Rombei, Claudia Roberta 2022",This concept list of 170 verb meanings is part of an effort to build a typological database on verbs in different languages.,"Zanchi, Chiara and Luraghi, Silvia and Rombei, Claudia Roberta",n.d. In.,Zanchi2022,,,basic,2022,170,english,English,,https://sigtyp.github.io/workshops/2022/sigtyp/papers/SIGTYP2022_proceedings.pdf#page=111,99-102,,link microroles role_frame
Zhao-2006-201,"Zhào, Yànzhēn 趙燕珍 2006","This is a concept list prepared to illustrate basic lexemes in Zhaozhuang Bai, a Southern Bai variety spoken in the South of Dali in Yunnan (China). The author intended to use Swadesh's [list of 200 items](conceptlists.csv#cldf:Swadesh-1952-200), but there are a few derivations. Interestingly, some concepts are also identical (like the Chinese items for SKY and DAY (NOT NIGHT)), due to ambiguities in the glossing language. Furthermore, as in many Chinese lists, we observe a wrong translation from DULL, being rendered as STUPID rather than DULL of a knife.","Zhào, Yànzhēn 趙燕珍",n.d. Zhōngyāng Mínzú Dàxué 中央民族大学 dissertation.,Zhao2006,Swadesh-1952-200,,basic,2006,201,chinese,Zhaozhuang Bai,,,,,form page
Savelyev-2020-254,"Savelyev, Alexander and Robbeets, Martine 2020","This concept list, which is supposed to extend the classical [Swadesh list of 200 items](conceptlists.csv#cldf:Swadesh-1952-200) by the [Leipzig-Jakarta list](conceptlists.csv#cldf:Tadmor-2009-100), was used for a phylogenetic study on Turkic languages.","Savelyev, Alexander and Robbeets, Martine",n.d.,Savelyev2020,Swadesh-1952-200 Tadmor-2009-100,,basic,2020,254,english,Turkic languages,,https://zenodo.org/record/3555174/files/turkic_alignment.tsv?download=1,,,
Oskolskaya-2021-254,"Oskolskaya, Sofia and Koile, Ezequiel and Robbeets, Martine 2021","This concept list, which is supposed to extend the classical [Swadesh list of 200 items](conceptlists.csv#cldf:Swadesh-1952-200) by the [Leipzig-Jakarta list](conceptlists.csv#cldf:Tadmor-2009-100), was used for a phylogenetic study on Tungusic languages. It is identical to [Saveleyev and Robbeets (2020)](conceptlists.csv#cldf:Savelyev-2020-254) except for concept numbering.","Oskolskaya, Sofia and Koile, Ezequiel and Robbeets, Martine",n.d.,Oskolskaya2021,Swadesh-1952-200 Tadmor-2009-100 Savelyev-2020-254,,basic,2021,254,english,Tungusic languages,,https://benjamins.com/catalog/dia.20010.osk/additional,,,
Carling-2019-99,"Carling, Gerd and Cronhamn, Sandra and Farren, Robert and Aliyev, Elnur and Frid, Johan 2019","This is a ranked list of concepts that are supposed to be rather prone to borrowing. The ranking stem from an analysis of borrowing frequencies, assessed by means of a manual tagging of those words that were found to be borrowings in the database. The data are ranked from the highest to the lowest degree of borrowability.","Carling, Gerd and Cronhamn, Sandra and Farren, Robert and Aliyev, Elnur and Frid, Johan",n.d.,Carling2019,,,lolo; ranked,2019,99,english,Global,,https://doi.org/10.1371/journal.pone.0223588.s005,,,classification loan no_loan rank
Ceolin-2019-168,"Ceolin, Andrea 2019","This list was used to investigate experiments on significance testing of language relatedness. The list is basically oriented towards the [200-item list of Swadesh](conceptlists.csv#cldf:Swadesh-1952-200), but discards some of the items for reasons mentioned in detail in the paper.","Ceolin, Andrea",n.d.,Ceolin2019,Swadesh-1952-200,,basic,2019,168,english,Altaic,,https://github.com/AndreaCeolin/Significant-Testing-of-Altaic/,,,
Rojas-2019-5,"Rojas-Berscia, Luis Miguel and Roberts, Sean 2019",This very small list if five pronoun terms was used for a phylogenetic study in South American languages.,"Rojas-Berscia, Luis Miguel and Roberts, Sean",n.d.,Rojas2019,,,specific,2019,5,english,Southern American Languages,,https://github.com/seannyD/BersciaHistoryOfPronounsInSouthAmerica,,,
Wang-2004-471,"Wang, Feng 2004","This concept list was used for a study on Bai dialects, based on original field work by the author. The thesis was published officially two years later ([Wang 2006](sources.bib#cldf:Wang2006)), potentially with small modifications. The seemingly inconsistent numbering of concepts indicates a probably larger questionnaire underlying the data which was published in the end. In some cases, English glosses were missing or not complete. We have added them and indicated this by putting them in square brackets.","Wang, Feng",n.d. (dissertation).,Wang2004b,,,basic; questionnaire,2004,471,chinese english,Bai dialects (Tibeto-Burman),,,,,page
Bodt-2019-664,"Bodt, Timotheus A. and List, Johann-Mattis 2019",This list was extracted from a larger questionnaire for fieldwork of the Western Kho-Bwa languages and later assembled for a prediction experiment.,"Bodt, Timotheus A. and List, Johann-Mattis",n.d.,Bodt2019,,,proto-language; questionnaire,2019,664,english,Kho-Bwa (Tibeto-Burman),,,,,
Sagart-2019-250,"Sagart, Laurent and Jacques, Guillaume and Lai, Yunfan and Ryder, Robin and Thouzeau, Valentin and Greenhill, Simon J. and List, Johann-Mattis 2019","This list was used for a phylogenetic study on Sino-Tibetan languages. As the items were selected by taking the list of [Huang et al. (1992)](conceptlists.csv#cldf:Huang-1992-1820) as reference, it also indicates to which item of this list the supposed items correspond.","Sagart, Laurent and Jacques, Guillaume and Lai, Yunfan and Ryder, Robin and Thouzeau, Valentin and Greenhill, Simon J. and List, Johann-Mattis",n.d.,Sagart2019,Huang-1992-1820,,basic,2019,250,english,Sino-Tibetan,,http://dighl.github.io/sinotibetan/,242-253,,coverage huang_1992_1820
SoHartmann-1988-280,"So-Hartmann, Helga 1988","This list was used for a study of Chin varieties, which was later digitized as part of the [STEDT](https://stedt.berkeley.edu/) project.","So-Hartmann, Helga",n.d.,SoHartmann1988,,,basic,1988,280,english,Chin varieties (Tibeto-Burman),,,,,
Castro-2010-511,"Castro, Andy and Hansen, Bruce 2010",This list provides a rather large range of concepts used for a mutual intelligibility survey of Zhuang dialects of the Hongshui He area.,"Castro, Andy and Hansen, Bruce",n.d.,Castro2010a,,,questionnaire,2010,511,chinese english,Zhuang dialects (Tai-Kadai),,,60-107,,swadesh_1952_200
Castro-2010-540,Andy Castro and Brian Crook and Royce Flaming 2010,This list was used for a sociolinguistic survey of closely related Yi varieties spoken in the Heqing province in Yunnan (China).,Andy Castro and Brian Crook and Royce Flaming,n.d.,Castro2010,,,questionnaire,2010,540,chinese english,Yi dialects (Tibeto-Burman),,,61-92,,
Chen-2012-888,"Chén, Qíguāng 陳其光 2012","This very long and only partially linked list is based on a survey of Hmong-Mian languages, which was particularly focusing on historical language comparison. The English glosses were added by us, by comparing specifically which glosses other scholars from China used in their collections where they provided English glosses.","Chén, Qíguāng 陳其光",n.d.,Chen2012,,,questionnaire,2012,888,chinese,Hmong-Mien languages,,,567-862,,category huang_1992_1888 page
Huang-1992-1820,"Huáng, Bùfán 黃布凡 1992","This extremely long and only marginally linked concept list is taken from the very influential survey of Sino-Tibetan (or Tibeto-Burman) languages published in 1992. The data has also been digitized by the [STEDT](https://stedt.berkeley.edu/) project, but in this version, the Chinese elicitation glosses are not provided. For the version we list here, Doug Cooper provided a digitized version of the Chinese glosses.","Huáng, Bùfán 黃布凡",n.d.,Huang1992,,,questionnaire,1992,1820,chinese english,Sino-Tibetan languages,,,1-608,TBL,pos tbl_english
Lama-2012-301,"Lama, Ziwo Qiu-Fuyuan 2012","This list was used for the initial proposal of a subgrouping for the Nisoic or Yi subgroup of Tibeto-Burman. The numbering starts with 0, which is why the list contains a total of 300 items. Data was taken from different sources, which may also have influenced the choice of concepts.","Lama, Ziwo Qiu-Fuyuan",n.d. (dissertation).,Lama2012,,,basic; proto-language,2012,301,chinese english,Yi (Tibeto-Burman),,,,,
Walworth-2018-215,"Walworth, Mary and Shimelman, Aviva 2018","This list is closely related to the basic wordlist of the [Austronesian Basic Vocabulary Database](conceptlists.csv#cldf:Blust-2008-210), but it lists additional personal pronouns.","Walworth, Mary and Shimelman, Aviva",n.d.,Walworth2018,Blust-2008-210,,areal; basic,2018,215,bislama english,Vanuatu languages,,,,Vanuatu Basic Words,
Hale-1973-1798,"Hale, Austin 1973",This huge questionnaire is based on a large survey of languages in Nepal.,"Hale, Austin",n.d.,Hale1973,,,areal; questionnaire,1973,1798,english,Languages spoken in Nepal,,,,,category
Castro-2015-608,"Castro, Andy and Pan, Xingwen 2015","This large concept list was used as the basis for a detailed investigation of Sui dialects. The study was first published in Chinese and later translated into English. Andy Castro was so friendly to share his bilingual concept list with us. This facilitated the concept mapping process greatly, although we could not map all concepts to Concepticon.","Castro, Andy and Pan, Xingwen",n.d.,Castro2015,,Castro2015,areal; questionnaire,2015,608,chinese english,Sui,,https://www.sil.org/resources/publications/entry/64425,377-382,,english2
Perrin-2010-110,"Perrin, Loïc-Michel 2010",This list was used as an initial questionnaire for colexification studies on a world-wide sample of languages.,"Perrin, Loïc-Michel",n.d.,Perrin2010,,Perrin2010,annotated,2010,110,english french german,Global,,https://journals.dartmouth.edu/cgi-bin/WebObjects/Journals.woa/xmlpage/1/article/353?htmlOnce=yes,276f,,
Sun-1991-1004,"Sun, Hongkai et al. 1991","This concept list originally served as a questionnaire for a large-scale investigation on Tibeto-Burman languages. The original questionnaire was in Chinese with no English translation. Later the [STEDT project](sources.bib#cldf:Matisoff2015) digitized the data, translating Chinese concept labels to English, but not listing the original Chinese forms. As a result, some concept labels are identical, although they are different in the Chinese version. We are still trying to add the original Chinese concept labels to this resource, but for the moment, we only link the STEDT version, occasionally adding Chinese concept labels, where we figure they are important to distinguish the original meaning.","Sun, Hongkai et al.",n.d.,Sun1991,,,questionnaire,1991,1004,chinese english,Tibeto-Burman languages,,http://stedt.berkeley.edu/~stedt-cgi/rootcanal.pl,,,
Robinson-2012-398,"Robinson, Laura C and Holton, Gary 2012","The authors inform that the list is built upon the about 400 items of [Holton (2012)](sources.bib#cldf:Holton2012), but this source did not submit the dataset.","Robinson, Laura C and Holton, Gary",n.d.,Robinson2012,,,basic,2012,398,english,Alor-Pantar languages,,http://booksandjournals.brillonline.com/content/journals/10.1163/22105832-20120201,,,
Heggarty-2020-200,"Heggarty, Paul and Anderson, Cormac and Scarborough, Matthew 2020","This is the basic list of 200 items which were selected for the Cognates in Basic Lexicon project. The compilers selected the items following various different criteria, such as ease of elicitation, non-fuzziness of the meaning, representation in Indo-European languages, and more. The numbers are at times higher than 200. This results from the earlier selection which containted more concepts which were no longer used in the official version.","Heggarty, Paul and Anderson, Cormac and Scarborough, Matthew",n.d. In.,Scarborough2020,,,basic,2020,200,english,Indo-European languages,,http://cobl.clld.org,,,
Hill-2017-240,"Hill, Nathan W. and List, Johann-Mattis 2017","This list is a small subset of the larage list of almost 2000 items which was used for the survey of Sino-Tibetan languages by [Huáng (1992)](sources.bib#cldf:Huang1992), usually called the *Tibet-Burman lexicon* or simply abbreviated as TBL. The authors slightly modified the glosses in their investigation of Burmish languages in the TBL, but the links to the are added in the column TBL_ID.","Hill, Nathan W. and List, Johann-Mattis",n.d.,Hill2017,,,areal; basic,2017,240,english,Burmish languages,,https://zenodo.org/record/886116,,,tbl_id
Serva-2012-200,"Serva, Maurizio  and Petroni, Filippo and Volchenkov, Dima  and Wichmann, Søren 2012","This list which resembles Swadesh's list of [200 items](conceptlists.csv#cldf:Swadesh-1952-200) closely, was compiled for a study of several varieties of Malagasy dialects. Given that we only had the concept labels for linking, and nobody of the current team knows much about Malagasy dialects, the linking may be sub-optimal at times, and if users detect errors or have suggestions on refinements, we would be very glad if they contacted us.","Serva, Maurizio  and Petroni, Filippo and Volchenkov, Dima  and Wichmann, Søren",n.d.,Serva2012,Swadesh-1952-200,,basic,2012,200,english,Malagasy dialects,,http://people.disim.univaq.it/~serva/research/publications/2012-malagasy.pdf,,,
Bender-1971-99,"Bender, M. L. 1971",This list of 99 concepts for a lexical study on Ethiopian is mainly based on the classical [Swadesh list of 100 items](conceptlists.csv#cldf:Swadesh-1955-100).,"Bender, M. L.",n.d.,Bender1971,Swadesh-1955-100,Bender1971,basic,1971,99,english,Ethiopian,,https://www.jstor.org/stable/30029540?seq=1#page_scan_tab_contents,169,,
Dellert-2017-1016,"Dellert, Johannes and Jäger, Gerhard 2017","This huge dataset lists translations for as many as 1016 concepts into more than 100 North-Eurasian languages. Concept sets have been linked to the Concepticon with help of the editors of the database, and since more than 200 concepts were not yet included in the Concepticon, this greatly increased the number of concept sets which we have by now. The data is further ranked, following some kind of stability score which was based on a method presented in [Dellert and Buch 2016](sources.bib#cldf:Dellert2016). The data are available from the columns RANK and STABILITY_SCORE. Currently, we do not yet display the weblinks to the online application, but only the internal ID, which can be retrieved from the downloadable data in CLDF format from the website.","Dellert, Johannes and Jäger, Gerhard",n.d.,Dellert2017,,,questionnaire,2017,1016,english german russian,North-Eurasian languages,,http://www.northeuralex.org,,,english_annotation german_annotation nelex_id rank russian_annotation stability_score
Ray-1895-26,"Ray, Sidney H. 1895",This early concept list was compiled to study genetic relationships among languages of New Guinea. The author reports himself that he was specifically looking into words of common usage in order to determine whether they are related among different branches.,"Ray, Sidney H.",n.d.,Ray1895,,Ray1895,areal; ultra-stable,1895,26,english,Britich New Guina Languagse (Melanesian and Papuan),,,33-39,,
Backstrom-1992-210a,"Backstrom, Peter C. and Radloff, Carla F. 1992a","This list was compiled for a sociolinguistic survey of language use in Pakistan. The list of 210 items is supposed to represent a standardized list used to investigate all languages in the field work survey. However, as can be seen when comparing the official list of 210 items with the concept labels given in the concrete surveys on specific language families, as the list of [Balti dialects](conceptlists.csv#cldf:Backstrom-1992-210b), it becomes obvious that not only some items are missing, but also that certain meanings have been modified, probably in order to make sure that enough words could be elicited. Although all glosses for «verbal meanings» are highly complex, we link them all to the basic concept sets, since from the survey it is clear that the authors adjusted them in order to elicite those verbal forms which represent the root of a given concept most consistently.","Backstrom, Peter C. and Radloff, Carla F.",n.d.,Backstrom1992,Backstrom-1992-210b,Backstrom1992,areal; basic,1992,210,english,Pakistanian languages,a,,209-214,,page
Backstrom-1992-210b,"Backstrom, Peter C. and Radloff, Carla F. 1992b","This is the concrete list which was used for Balti dialects (Tibetan group of Sino-Tibetan) in the large survey of languages in Pakistan (see the [general list of 210 items used in this survey](conceptlists.csv#cldf:Backstrom-1992-210a)). The list is missing five entries and shows also some further differences from the main list. Since we kept the numbering of both the standardized list and the concrete questionnaire used for the Balti dialects, those differences can be easily spotted when comparing the lists.","Backstrom, Peter C. and Radloff, Carla F.",n.d.,Backstrom1992,Backstrom-1992-210a,Backstrom1992,areal; basic,1992,205,english,Balti dialects,b,,219-233,,page
Bowern-2012-644,"Bowern, Claire 2012","This list supplements a study on Tasmanian languages based on various sources. It provides a linking between different concept labels found in various sources on Tasmanian languages. Due to the specificity of the vocabulary, we had to leave many concepts unlinked.","Bowern, Claire",n.d.,Bowern2012a,,,questionnaire,2012,644,english,Tasmanian,,,,,
Bowern-2017-348,"Bowern, Claire 2012",This lists supplements [Bowern and Atkinson's (2012)](sources.bib#cldf:Bowern2012) study and contains material from both Swadesh's [200-item list](conceptlists.csv#cldf:Swadesh-1952-200) and the [questionnaire for hunter gatherer languages](conceptlists.csv#cldf:Bowern-2011-204).,"Bowern, Claire",n.d.,Bowern2012b,Swadesh-1952-200 Bowern-2011-204,,questionnaire,2012,348,english,Pama-Nyungan,,https://zenodo.org/record/1005671,,,
Kingsada-1999-303,"Kingsada, Thongpheth and Shintani, Tadahiko 1999","This list was used for a survey of basic vocabulary of 17 language varieties spoken in the border region between China and Vietnam. The list itself references an earlier list by [Shintani and Yang (1990)](sources.bib#cldf:Shintani1990), which itself goes back to an even earlier larger list of concepts used for lexical field work of Chinese dialects. The last two lists are not yet available for the Concepticon, but we add the reference number in the column Shintani1990 (items with ID 999999 seem to indicate that this concept does not occur in the master list and was added for the survey).","Kingsada, Thongpheth and Shintani, Tadahiko",n.d.,Kingsada1999,,,basic,1999,303,english,South-East Asia,,,,,shintani1990
Calude-2011-200,"Calude, Andreea S. and Pagel, Mark 2011","This list is identical with the one by [Pagel et al. 2007](conceptlists.csv#cldf:Pagel-2007-200), but it adds additional metadata, namely frequency counts for the 200 items for as many as 17 different languages. We list the logged frequencies of the basic words, leaving those cases where the authors did not find the respective word frequencies empty.","Calude, Andreea S. and Pagel, Mark",n.d.,Calude2011,Pagel-2007-200,,basic,2011,200,english,cross-linguistic sample,,,,,basque_frequency chilean_frequency chinese_frequency czech_frequency english_frequency estonian_frequency finnish_frequency french_frequency greek_frequency maori_frequency polish_frequency portuguese_frequency russian_frequency spanish_frequency swahili_frequency tok_pisin_frequency turkish_frequency
BeijingDaxue-1964-905,{Beijing University} 1964,"This questionnaire was employed for one of the first large-scale dialect surveys in China, notably a survey that was based on lexical data, not solely on character readings. Unfortunately, the concepts themselves are very idiosyncratic and we had to omit many of those terms, as it would have been too tedious add them to the Concepticon right now.",Beijing University,n.d.,BeijingDaxue1964,,,areal,1964,905,chinese,Chinese dialects,,,,Cihui,chinese_simplified pageno pinyin pos pos_in_source semantic_field sf_in_source
Daniels-2016-85,"Daniels, Don 2016","This list is supposed to reflect [Swadesh's concept list of 100 items](conceptlists.csv#cldf:Swadesh-1955-100), although it deviates from the original concept labels. It was used to compare a so far undocumented language from Papua New Guina (Magɨ) with a potentially related language (Aisi). Certain concepts were excluded from the list, mostly due to dependencies with other concepts due to colexification and compounding.","Daniels, Don",n.d.,Daniels2016,Swadesh-1955-100,Daniels2016,areal; basic; documentation,2016,85,english,New Guinea,,http://muse.jhu.edu/article/619290,219-221,,
Swadesh-1964-100,"Swadesh, Morris 1964",This is the famous [100 item Swadesh list](conceptlists.csv#cldf:Swadesh-1955-100) in the first Russian translation. This list contains the 92 most stable items from the [master list of 215 items](conceptlists.csv#cldf:Swadesh-1960-215) plus eight additional items which are only mentioned in the text and are indicated here by starring the English concept label.,"Swadesh, Morris",n.d.,Swadesh1964,Swadesh-1955-100 Swadesh-1960-215,,basic,1964,100,english russian,Global,,http://www.classes.ru/grammar/148.new-in-linguistics-1/source/worddocuments/_24.htm,78-87,Swadesh-100-Russian,
Swadesh-1960-215,"Swadesh, Morris 1960","This is the first Russian translation of the master list of [Swadesh's paper from 1955](sources.bib#cldf:Swadesh1955), which turned out to be very influential in Soviet linguistics and has retained influential up to today. Note that while the translation of the concept labels is literal and also provides the original ones which Swadesh provided in his c[master list of 215 concepts](conceptlists.csv#cldf:Swadesh-1955-215), the Russian translation makes certain distinctions which cannot be determined from the original text. In one case, in the case of «fat», this distinction is essentially wrong, as Swadesh did explicitly annotate this concept as a body part or substance. The concepts whose English labels are preceded by an asterisk are those 92 concepts which were later included in the famous [100-item list](conceptlists.csv#cldf:Swadesh-1955-100).","Swadesh, Morris",n.d.,Swadesh1964,Swadesh-1955-215 Swadesh-1955-100,,basic,1960,215,english russian,Global,,http://www.classes.ru/grammar/148.new-in-linguistics-1/source/worddocuments/_24.htm,78-87,,
Wilkins-1996-75,"Wilkins, David P. 1996","This collection shows cross-linguistically frequent pathways of semantic change which involve one item of the [list of 41 body part terms](conceptlists.csv#cldf:Wilkins-1996-41) by the same compiler. The network is displayed by showing to which *target* a given concept links, with multiple targets being separated by a comma.","Wilkins, David P.",n.d. In.,Wilkins1996,Wilkins-1996-41,Wilkins1996,body parts; specific,1996,75,english,Global,,,284,Wilkins-75,target
Wilkins-1996-41,"Wilkins, David P. 1996",This collection of body part concepts was used for a cross-linguistic study of semantic change.,"Wilkins, David P.",n.d. In.,Wilkins1996,,Wilkins1996,body parts; specific,1996,41,english,Global,,,271,Wilkins-41,
Peiros-1999-100,"Peiros, Ilia 1999","This list is supposed to reflect Swadesh's original [basic list of 100 items](conceptlists.csv#cldf:Swadesh-1955-100), yet it contains many additional specifications in the concept labels, which at times also differ from the concepts which Swadesh had originally in mind.","Peiros, Ilia",n.d. In.,Peiros1999,Swadesh-1955-100,Peiros1999,basic,1999,100,english,Global,,,291,,
Campbell-1999-100,"Campbell, Lyle 1999","This list is supposed to replicate the standard list of [100 items by Swadesh (1955)](conceptlists.csv#cldf:Swadesh-1955-100). It differs in the concept labels, however, and also in the ordering of concepts.","Campbell, Lyle",n.d.,Campbell1999,Swadesh-1955-100,Campbell1999,basic,1999,100,english,Global,,,178,,
Birchall-2016-125,"Birchall, Joshua and Dunn, Michael and Greenhill, Simon J. 2016","This list is the concept list underlying a comparative analysis of Chapacuran languages. The original data lists the concepts, but splits them into 285 cognate sets, occasionally allowing for variation in meaning. We ignored these variations and linked the concepts according to the basic meaning as further exemplified in the supplementary material of the study.","Birchall, Joshua and Dunn, Michael and Greenhill, Simon J.",n.d.,Birchall2016,,,areal,2016,125,english,Chapacuran,,,,,
Snoek-2013-61,"Snoek, Conor 2013","This concept list provides a list of general body part terms, including proper body parts, body liquids, and what the compiler calls ephemera, that is, alienable parts of the human body. The list is of specific interest as it is one of the rare explicit accounts we could find so far, where body part terminology is nearly exhaustively listed.","Snoek, Conor",n.d. In.,Snoek2013,,Snoek2013,body parts; specific,2013,61,english,Athapaskan langauges,,,244,Snoek-body-parts,category
Wang-2015-62,"Wang, Feng 2015",This list is supposed to represent a list of stable lexical items which are reflected in a larger range of Miao-Yao languages in form of regular sound correspondences in stable form-meaning relations.,"Wang, Feng",n.d.,Wang2015,,,basic; stable,2015,62,chinese english,"Miao-Yao, Chinese",,,170-175,,page
Matisoff-2009-47,"Matisoff, James A. 2009","This list proposes the most stable concepts for Tibeto-Burman, as reflected in reconstrutions with wide-spread reflexes. The concepts themselves are sometimes further broadened in the actual examples, showing complex patterns of semantic change that the author assumes. They are listed in the column REFLEX_MEANINGS in the data. The two personal pronouns are starred, as the author does not give the literal forms in the paper.","Matisoff, James A.",n.d. In.,Matisoff2009,,,basic; stable,2009,47,english,Tibeto-Burman,,https://minpaku.repo.nii.ac.jp/?action=repository_uri&item_id=2578&file_id=18&file_no=1,299-307,,category category_id reflex_meanings
Hooley-1971-128,"Hooley, Bruce A. 1971","This list is based on [Bee (1962)](sources.bib#cldf:Bee1962), and it contains a selection of 128 of those original 176 words, due to the criterion of 'elicitability' in a field work survey. Further 28 items were discarded, since they did not find a word in the given varieties.","Hooley, Bruce A.",n.d.,Hooley1971,,Hooley1971,areal; basic,1971,128,english,Austronesian,,,109-111,,
Rea-1958-100,"Rea, John A. 19581",This list is basically identical with the list of [Swadesh (1955)](conceptlists.csv#cldf:Swadesh-1955-100) and was used to test the stability of lexical items in the Romance languages.,"Rea, John A.",n.d.,Rea1958,Swadesh-1955-100,Rea1958,basic,1958,100,english,Romance languages,1,,148,,
Mennecier-2016-183,Phillipe Mennecier and John Nerbonne and Evelyne Heyer and Franz Manni 2016,"This concept list was underlying a study on Central Asian language varieties (Turkic and Indo-Iranian dialects). The data description is a bit confusing, as the authors list in their abstract that they used a [Swadesh list of 200 items](conceptlists.csv#cldf:Swadesh-1952-200) which they reduced to 176 items. In the supplementary table 1, they then mention that they excluded 21 of the 200 concepts, but they do not mention that they added to more concepts (AUTUMN and BUTTERFLY) in the table they show in supplementary material 1, and the total number of concepts expected in this table is also not 181, but 188, so they obviously used the [combined Swadesh list 207 items](sources.bib#cldf:Comrie1977). In the supplementary table 2, however, there are only 183 concepts, which we now list as such in our Concepticon. The column ENGLISH_1 corresponds to the summary table in supplementary table 1, from where we also took the Russian translations.",Phillipe Mennecier and John Nerbonne and Evelyne Heyer and Franz Manni,n.d.,Mennecier2016,Swadesh-1952-200,,basic,2016,183,english russian,"Indo-Iranian,Turkic",,https://figshare.com/articles/A_Central_Asian_Language_Survey/3443090/1,,,english_1 swadesh_id
Liu-2007-201,"Liú, Lìlǐ 刘俐李 and Wáng, Hóngzhōng 王洪钟 and Bǎi, Yíng 柏莹 2007","This list is based on the [200 item list of Swadesh (1952)](conceptlists.csv#cldf:Swadesh-1952-200). The reason why it contains 201 items is that the word for «RIVER» occurs twice, reflecting the two opposed terms *hé* and *jiāng*. Since these are merely regional terms both existing only in the cultural context of China, we link them to the same concept set. Nevertheless, the list still contains 201 items, as the item «count» in the data is listed both as a noun and a verb, with the noun then translating as «number». In Chinese dialects, the words for *number* and *count* are essentially the same, but they often show a difference in tone.","Liú, Lìlǐ 刘俐李 and Wáng, Hóngzhōng 王洪钟 and Bǎi, Yíng 柏莹",n.d.,Liu2007,Swadesh-1952-200,Liu2007,basic,2007,201,chinese english,Chinese dialects,,,32-132,,
Cysouw-2006-110,"Cysouw, Michael and Wichmann, Søren and Kamholz, David 2006",This list is almost completely identical with the original [110 item list by Starostin (1991)](conceptlists.csv#cldf:Starostin-1991-110). It was used for a lexicostatistical investigation of 10 Mixe-Zoque languages.,"Cysouw, Michael and Wichmann, Søren and Kamholz, David",n.d.,Cysouw2006,Starostin-1991-110,,basic,2006,110,english,Mixe-Zoque,,,259-261,,
Deepadung-2015-100,"Deepadung, Sujaritlak and Buakaw, Supakit and Rattanapitak, Ampika 2015","This list consists of 100 items which were taken from the comparative basic list by [Mann (2004)](conceptlists.csv#cldf:Mann-2004-500), consisting of 118 items which occur both in the list by [Matisoff (1978)](conceptlists.csv#cldf:Matisoff-1978-200)the different lists of Swadesh ([1955](conceptlists.csv#cldf:Swadesh-1955-100), [1952](conceptlists.csv#cldf:Swadesh-1952-200)). While this list contains 118 items, the authors only chose the first 100 of those.","Deepadung, Sujaritlak and Buakaw, Supakit and Rattanapitak, Ampika",n.d.,Deepadung2015,Mann-2004-500 Matisoff-1978-200 Swadesh-1955-100 Swadesh-1952-200,,areal; basic,2015,100,english,Palaung (Austroasiatic),,http://www.sealang.net/mks/mks44sujaritlak.pdf,33-38,,
