concepticon_id	name	description	final_synset	synonym	wordnet_id	count	definition	same_synset	taxonomic_depth
412	carry in hand	To hold or to take something from one place to another by hands.	n.a.					different	
413	carry on shoulder	To hold or to take something from one place to another on one shoulder.	n.a.					different	
414	carry on head	To hold or to take something from one place to another on top of the head.	n.a.					different	
415	carry under arm	To hold or to take something from one place to another under the arm.	n.a.					different	
416	outrigger	A stabilizer for a canoe; spars attach to a shaped log or float parallel to the hull.	n03861271	outrigger	n03861271	11.0	a stabilizer for a canoe; spars attach to a shaped log or float parallel to the hull	same	8.0
418	for a long time	(Of an action or state) to last a long period of time.	n15242955	age	n15145171	2627.0	a time of life (usually defined in years) at which some particular qualification or power arises	different	5.0
418	for a long time	(Of an action or state) to last a long period of time.	n15242955	years	n15203791	2.0	a period of time containing 365 (or 366) days	different	5.0
420	forest	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.	n08438533	forest	n08438533	1191.0	the trees and other plants in a large densely wooded area	same	5.0
420	forest	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.	n08438533	wood	n15098161	1716.0	the hard fibrous lignified substance under the bark of trees	different	5.0
420	forest	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.	n08438533	woods	n15098161	10.0	the hard fibrous lignified substance under the bark of trees	different	5.0
421	retreat	To retreat unwillingly and/or suddenly, often caused by sudden pain, shock, scare, fright, surprise, or similar.	v01994442	recede	v01994442	145.0	pull back or move away or backward	same	1.0
421	retreat	To retreat unwillingly and/or suddenly, often caused by sudden pain, shock, scare, fright, surprise, or similar.	v01994442	retire	v02379753	1019.0	go into retirement; stop performing one's work or withdraw from one's position	different	1.0
421	retreat	To retreat unwillingly and/or suddenly, often caused by sudden pain, shock, scare, fright, surprise, or similar.	v01994442	retreat	v01994442	350.0	pull back or move away or backward	same	1.0
421	retreat	To retreat unwillingly and/or suddenly, often caused by sudden pain, shock, scare, fright, surprise, or similar.	v01994442	withdraw	v01994442	200.0	pull back or move away or backward	same	1.0
425	be late	To be later than the expected time.	r00100267	belatedly	r00100267	49.0	later than usual or than expected	same	0.0
425	be late	To be later than the expected time.	r00100267	late	a00816481	2661.0	being or occurring at an advanced period of time or after a usual or expected time	different	0.0
425	be late	To be later than the expected time.	r00100267	tardily	r00100267	1.0	later than usual or than expected	same	0.0
471	upper leg (thigh)	The part of the leg between the pelvis and the knee.	n5562249	thigh	n05562249	755.0	the part of the leg between the hip and the knee	different	8.0
474	dress	A one-piece garment for a woman that has a skirt and a body section.	n03236735	dress	n03236735	1756.0	a one-piece garment for a woman; has skirt and bodice	same	8.0
474	dress	A one-piece garment for a woman that has a skirt and a body section.	n03236735	frock	n03236735	53.0	a one-piece garment for a woman; has skirt and bodice	same	8.0
476	cup	A concave vessel for holding liquid, generally adorned with either a handle or a stem.	n03147509	cup	n13766733	2016.0	the quantity a cup will hold	different	7.0
477	late	Towards the end of a time period.	a819235	late	a00816481	2661.0	being or occurring at an advanced period of time or after a usual or expected time	different	0.0
477	late	Towards the end of a time period.	a819235	later	r00061203	8292.0	happening at a time subsequent to a reference time	different	0.0
478	lip	Either of the two fleshy protrusions around the opening of the mouth.	n05305806	lip	n05305806	3377.0	either of two fleshy folds of tissue that surround the mouth and play a role in speaking	same	6.0
479	grow	(For a living being) To become bigger.	v00231557	grow	v00230746	2988.0	become larger, greater, or bigger; expand or gain	different	5.0
480	plate	A flat dish on which food is served or from which food is eaten.	n03959485	plate	n03959485	1201.0	dish on which food is served or from which food is eaten	same	9.0
481	dish	Any kind of vessel for holding or serving meals.	n03206908	dish	n03206908	686.0	a piece of dishware normally used as a container for holding or serving food	same	7.0
482	noble	Someone of aristocratic blood.	n10271677	Lord				different	7.0
482	noble	Someone of aristocratic blood.	n10271677	noble	a01588172	229.0	having or showing or indicative of high or elevated character	different	7.0
482	noble	Someone of aristocratic blood.	n10271677	nobleman	n10271677	49.0	a titled peer of the realm	same	7.0
484	condemn	To declare, after a judgment, that somebody is guilty of committing a crime.	v00906735	condemn	v00864159	213.0	express strong disapproval of	different	3.0
484	condemn	To declare, after a judgment, that somebody is guilty of committing a crime.	v00906735	doom	v00890855	138.0	make certain of the failure or destruction of	different	3.0
484	condemn	To declare, after a judgment, that somebody is guilty of committing a crime.	v00906735	sentence	n06285090	572.0	a string of words satisfying the grammatical rules of a language	different	3.0
485	disappear	To cease to appear, to not be visible anymore.	v00426958	disappear	v00426958	1647.0	get lost, as without warning or explanation	same	0.0
485	disappear	To cease to appear, to not be visible anymore.	v00426958	vanish	v00426958	608.0	get lost, as without warning or explanation	same	0.0
488	manner	Way of performing or effecting anything.	n04928903	fashion	n05750657	731.0	the latest and most admired style in clothes and cosmetics and behavior	different	4.0
488	manner	Way of performing or effecting anything.	n04928903	manner	n04928903	674.0	how something is done or how it happens	same	4.0
488	manner	Way of performing or effecting anything.	n04928903	mode	n04928903	387.0	how something is done or how it happens	same	4.0
488	manner	Way of performing or effecting anything.	n04928903	style	n04928903	1474.0	how something is done or how it happens	same	4.0
488	manner	Way of performing or effecting anything.	n04928903	way	n04928903	11047.0	how something is done or how it happens	same	4.0
489	kidney	An organ in the body that produces urine.	n05332802	kidney	n05332802	281.0	either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine	same	8.0
490	descendants	One who is the progeny of someone at any distance of time.	n08369220	descendants				different	4.0
490	descendants	One who is the progeny of someone at any distance of time.	n08369220	posterity	n08369142	26.0	all future generations	different	4.0
492	three	The natural number three (3).	a02186580	3				different	0.0
492	three	The natural number three (3).	a02186580	iii	n13744044	3.0	the cardinal number that is the sum of one and one and one	different	0.0
492	three	The natural number three (3).	a02186580	three	n13744044	32.0	the cardinal number that is the sum of one and one and one	different	0.0
493	five	The natural number five (5).	a02186750	5				different	0.0
493	five	The natural number five (5).	a02186750	five	n13744521	92.0	the cardinal number that is the sum of four and one	different	0.0
493	five	The natural number five (5).	a02186750	v	n06833436	263.0	the 22nd letter of the Roman alphabet	different	0.0
497	scar	A permanent mark on the skin resulting from a wound.	n14363483	cicatrice				different	7.0
497	scar	A permanent mark on the skin resulting from a wound.	n14363483	cicatrix	n14363483	2.0	a mark left (usually on the skin) by the healing of injured tissue	same	7.0
497	scar	A permanent mark on the skin resulting from a wound.	n14363483	scar	n14363483	491.0	a mark left (usually on the skin) by the healing of injured tissue	same	7.0
499	cure	To remedy an illness using medical or medicamentous treatment; to provide a cure for.	v00081725	cure	n04074482	341.0	a medicine or therapy that cures disease or relieve pain	different	3.0
499	cure	To remedy an illness using medical or medicamentous treatment; to provide a cure for.	v00081725	heal	v00270561	231.0	heal or recover	different	3.0
501	lift	To cause an object to have a higher location than previously.	v01974062	elevate	v00544549	126.0	raise in rank or condition	different	1.0
501	lift	To cause an object to have a higher location than previously.	v01974062	lift	v01974062	2002.0	raise from a lower to a higher position	same	1.0
501	lift	To cause an object to have a higher location than previously.	v01974062	raise	v01974062	2335.0	raise from a lower to a higher position	same	1.0
502	nail (tool)	A spike-shaped metal fastener used for joining wood or similar materials.	n03804744	nail	n05581693	517.0	horny plate covering and protecting part of the dorsal surface of the digits	different	9.0
503	frog	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	n01639765	anuran				different	10.0
503	frog	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	n01639765	batrachian				different	10.0
503	frog	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	n01639765	frog	n01639765	333.0	any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species	same	10.0
503	frog	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	n01639765	salientian				different	10.0
503	frog	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	n01639765	toad	n01639765	80.0	any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species	same	10.0
504	learn	To acquire, or attempt to acquire knowledge or an ability to do something.	v00597915	acquire	v02210855	668.0	come into the possession of something concrete or abstract	different	0.0
504	learn	To acquire, or attempt to acquire knowledge or an ability to do something.	v00597915	larn				different	0.0
504	learn	To acquire, or attempt to acquire knowledge or an ability to do something.	v00597915	learn	v00597915	5236.0	gain knowledge or skills	same	0.0
505	parents	Father and mother of a child.	n10399491	parent	n10399491	6543.0	a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian	same	8.0
506	maize	A type of grain of the species Zea mays.	n12143676	corn	n12143676	471.0	tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times	same	12.0
506	maize	A type of grain of the species Zea mays.	n12143676	maize	n12143676	40.0	tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times	same	12.0
509	certain	Without any doubt or possibility of deviation.	a00335421	certain	s00700884	2315.0	definite but not specified or identified	different	0.0
522	wolf	A large wild canid (Canidae), closely related to the dog.	n02114100	wolf	n02114100	534.0	any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs	same	13.0
525	blood vessel	The blood vessels are the part of the circulatory system that transports blood throughout the human body or an animal body.	n05333777	arteria				different	9.0
525	blood vessel	The blood vessels are the part of the circulatory system that transports blood throughout the human body or an animal body.	n05333777	artery	n05333777	248.0	a blood vessel that carries blood from the heart to the body	same	9.0
526	howl	To cry like a wolf, dog, or other canids.	v01047381	howl	v01046932	250.0	emit long loud cries	different	1.0
526	howl	To cry like a wolf, dog, or other canids.	v01047381	wrawl				different	1.0
526	howl	To cry like a wolf, dog, or other canids.	v01047381	yammer	v00907930	13.0	complain whiningly	different	1.0
526	howl	To cry like a wolf, dog, or other canids.	v01047381	yowl	v00914634	19.0	utter shrieks, as of cats	different	1.0
539	nest	A nest is a structure built by vertebrates to hold its eggs, its offspring, or occasionally the animal itself and may be composed of organic material such as twigs, grass, and leaves, or may be a simple depression in the ground, or a hole in a rock, tree, or building.	n09369169	nest	n09369169	436.0	a structure in which animals lay eggs or give birth to their young	same	5.0
568	rise (move upwards)	(Of a heavenly body) To appear to move upwards from behind the horizon of a planet as a result of the planet's rotation.	v01968569	arise	v02624263	359.0	come into existence; take on form or shape	different	1.0
568	rise (move upwards)	(Of a heavenly body) To appear to move upwards from behind the horizon of a planet as a result of the planet's rotation.	v01968569	lift	v01974062	2002.0	raise from a lower to a higher position	different	1.0
568	rise (move upwards)	(Of a heavenly body) To appear to move upwards from behind the horizon of a planet as a result of the planet's rotation.	v01968569	rise	v01968569	1335.0	move upward	same	1.0
568	rise (move upwards)	(Of a heavenly body) To appear to move upwards from behind the horizon of a planet as a result of the planet's rotation.	v01968569	uprise				different	1.0
576	dandruff	Small portion of dead skin cells shedding from the scalp.	n09262955	dandruff	n09262955	8.0	loose scales shed from the scalp	same	7.0
578	kiss	To touch with the lips to express love or affection.	v01431230	buss	v01950128	4.0	send or move around by bus	different	1.0
578	kiss	To touch with the lips to express love or affection.	v01431230	kiss	v01431230	2013.0	touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.	same	1.0
578	kiss	To touch with the lips to express love or affection.	v01431230	osculate				different	1.0
578	kiss	To touch with the lips to express love or affection.	v01431230	snog	v01431230	11.0	touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.	same	1.0
579	battle	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.	n00953559	battle	n00953559	1365.0	a hostile meeting of opposing military forces in the course of a war	same	6.0
579	battle	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.	n00953559	conflict	n00958896	623.0	an open clash between two opposing groups (or individuals); --Thomas Paine	different	6.0
579	battle	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.	n00953559	engagement	n07228211	152.0	a mutual promise to marry	different	6.0
579	battle	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.	n00953559	fight	v01090335	1985.0	be engaged in a fight; carry on a fight	different	6.0
580	fur	The body-hair of an animal (excluding humans) or a piece of clothing made thereof.	n03404149	fur	n14764061	339.0	the dressed hairy coat of a mammal	different	8.0
582	lend	To put an item or resource at the disposal of another, with the requirement to have the same or its equivalent returned eventually.	v02324182	lend	v02324478	197.0	bestow a quality on	different	2.0
582	lend	To put an item or resource at the disposal of another, with the requirement to have the same or its equivalent returned eventually.	v02324182	loan	n13398953	827.0	the temporary provision of money (usually at interest)	different	2.0
584	difficult	Not easy, which needs hard work, patience and effort of either the physical or mental kind.	a00744916	difficult	a00744916	2671.0	not easy; requiring great physical or mental effort to accomplish or comprehend or endure	same	0.0
584	difficult	Not easy, which needs hard work, patience and effort of either the physical or mental kind.	a00744916	hard	a00744916	4047.0	not easy; requiring great physical or mental effort to accomplish or comprehend or endure	same	0.0
585	boot	A shoe that covers part of the leg.	n02872752	boot	n02872752	1663.0	footwear that covers the whole foot and lower leg	same	7.0
586	garden	A piece of land next to a house where flowers and other plants are grown and which often has an area of grass.	n03417749	garden	n03417345	1733.0	a plot of ground where plants are cultivated	different	9.0
587	ant	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.	n02219486	ant	n02219486	186.0	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	same	11.0
587	ant	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.	n02219486	emmet	n02219486	1.0	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	same	11.0
587	ant	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.	n02219486	pismire				different	11.0
590	naked	Without clothing.	a00457998	bare	s00457998	493.0	completely unclothed	different	0.0
590	naked	Without clothing.	a00457998	naked	s00457998	853.0	completely unclothed	different	0.0
590	naked	Without clothing.	a00457998	nude	s00457998	141.0	completely unclothed	different	0.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	make	v00120316	18783.0	give certain properties to something	different	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	micturate	v00072012	1.0	eliminate urine	same	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	pee	v00072012	144.0	eliminate urine	same	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	pee-pee				different	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	piddle	v02708123	11.0	waste time; spend one's time idly or inefficiently	different	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	piss	v00072012	372.0	eliminate urine	same	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	puddle	n09397607	206.0	a small body of standing water (rainwater) or other liquid	different	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	urinate	v00072012	60.0	eliminate urine	same	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	wee	s00815849	43.0	very early	different	2.0
592	piss	To allow urine to flow from the bladder out of the body.	v00072012	wee-wee				different	2.0
593	potato	A tuberous plant, Solanum tuberosum, often eaten as a starchy vegetable, particularly in the Americas and Europe.	n07710616	murphy	n07710616	4.0	an edible tuber native to South America; a staple food of Ireland	same	7.0
593	potato	A tuberous plant, Solanum tuberosum, often eaten as a starchy vegetable, particularly in the Americas and Europe.	n07710616	potato	n07710616	860.0	an edible tuber native to South America; a staple food of Ireland	same	7.0
593	potato	A tuberous plant, Solanum tuberosum, often eaten as a starchy vegetable, particularly in the Americas and Europe.	n07710616	spud	n04289964	4.0	a sharp hand shovel for digging out roots and weeds	different	7.0
593	potato	A tuberous plant, Solanum tuberosum, often eaten as a starchy vegetable, particularly in the Americas and Europe.	n07710616	tater	n07710616	9.0	an edible tuber native to South America; a staple food of Ireland	same	7.0
597	physician	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	n10020890	Dr.				different	8.0
597	physician	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	n10020890	MD				different	8.0
597	physician	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	n10020890	doc	n10020890	42.0	a licensed medical practitioner	same	8.0
597	physician	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	n10020890	doctor	n10020890	4090.0	a licensed medical practitioner	same	8.0
597	physician	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	n10020890	medico				different	8.0
597	physician	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	n10020890	physician	n10020890	818.0	a licensed medical practitioner	same	8.0
598	shell	A hard outer covering of an animal, as the hard case of a mollusk.	n01904182	shell	n01903756	295.0	hard outer covering or case of certain organisms such as arthropods and turtles	different	6.0
601	lie (mislead)	To knowingly say something that is untrue.	v00834259	lie	v02690708	1923.0	be located or situated somewhere; occupy a certain position	different	5.0
602	hide (conceal)	To put something in a place where it will be harder to discover or out of sight.	v02144835	conceal	v02144835	387.0	prevent from being seen or discovered	same	0.0
602	hide (conceal)	To put something in a place where it will be harder to discover or out of sight.	v02144835	hide	v02144835	2367.0	prevent from being seen or discovered	same	0.0
603	coat	An outer garment covering the upper torso and arms.	n03057021	coat	n03057021	1473.0	an outer garment that has sleeves and covers the body from shoulder down; worn outdoors	same	9.0
604	glass	A hard, amorphous, inorganic, usually transparent, brittle substance made by fusing silicates, sometimes borates and phosphates, with certain basic oxides and then rapidly cooling to prevent crystallization.	n14881303	glass	n14881303	2491.0	a brittle transparent solid with irregular atomic structure	same	4.0
605	grain	Edible, starchy seeds of the grass family (Graminae) usable as food by man and his livestock.	n12141385	grain	n07802417	263.0	foodstuff prepared from the starchy grains of cereal grasses	different	12.0
606	grass	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.	n12102133	grass	n12102133	1620.0	narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay	same	10.0
607	grasshopper	A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.	n02226429	grasshopper	n02226429	80.0	terrestrial plant-eating insect with hind legs adapted for leaping	same	11.0
607	grasshopper	A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.	n02226429	hopper	n03535284	30.0	funnel-shaped receptacle; contents pass by gravity into a receptacle below	different	11.0
610	port	Area of water next to the coast, often surrounded by thick walls, where ships and boats can be sheltered.	n08633957	port	n08633957	460.0	a place (seaport or airport) where people and merchandise can enter or leave a country	same	6.0
613	high tide	The level of water when the tide is at its highest level.	n07401960	highwater	n07401960	3.0	the tide when the water is highest	same	7.0
615	horse	A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.	n02374451	horse	n02374451	2915.0	solid-hoofed herbivorous quadruped domesticated since prehistoric times	same	14.0
617	ice	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.	n14915184	ice	n14915184	1739.0	water frozen in the solid state	same	5.0
618	precipice	A very steep decline, typically found in the mountains or on shores.	n09398677	precipice	n09398677	36.0	a very steep cliff	same	5.0
619	animal	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	n00015388	animal	n00015388	3266.0	a living organism characterized by voluntary movement	same	6.0
619	animal	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	n00015388	beast	n00015388	648.0	a living organism characterized by voluntary movement	same	6.0
619	animal	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	n00015388	brute	n09845589	40.0	a cruelly rapacious person	different	6.0
619	animal	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	n00015388	creature	n00015388	1369.0	a living organism characterized by voluntary movement	same	6.0
619	animal	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	n00015388	fauna	n00015388	29.0	a living organism characterized by voluntary movement	same	6.0
620	insect	A class of the Arthropoda typically having a segmented body with an external chitinous covering, a pair of compound eyes, a pair of antennae, three pairs of mouthparts, and two pairs of wings.	n02159955	insect	n02159955	667.0	small air-breathing arthropod	same	9.0
621	iron	A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes.	n14642417	Fe				different	6.0
621	iron	A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes.	n14642417	iron	n14642417	1145.0	a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood	same	6.0
622	island	A land mass, especially one smaller than a continent, entirely surrounded by water.	n09316454	island	n09316454	1649.0	a land mass (smaller than a continent) that is surrounded by water	same	4.0
623	lagoon	A body of water cut off from the open sea by coral reefs or sand bars.	n09328746	lagoon	n09328746	87.0	a body of water cut off from a larger body by a reef of sand or coral	same	5.0
623	lagoon	A body of water cut off from the open sea by coral reefs or sand bars.	n09328746	laguna				different	5.0
623	lagoon	A body of water cut off from the open sea by coral reefs or sand bars.	n09328746	lagune				different	5.0
624	lake	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.	n09328904	lake	n09328904	1125.0	a body of (usually fresh) water surrounded by land	same	4.0
626	land	A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)	n09334396	earth	n09270894	669.0	the 3rd planet from the sun; the planet we live on	different	3.0
626	land	A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)	n09334396	ground	n09334396	3751.0	the solid part of the earth's surface	same	3.0
626	land	A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)	n09334396	land	n13250048	1211.0	the land on which real estate is located	different	3.0
627	lead (chemical element)	A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield.	n14643467	Pb				different	6.0
627	lead (chemical element)	A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield.	n14643467	lead	v01999798	2086.0	take somebody somewhere	different	6.0
628	leaf	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.	n13131883	blade	n02848216	551.0	the flat part of a tool or weapon that (usually) has a cutting edge	different	8.0
629	leather	The dressed or tanned hide of an animal, usually with the hair removed.	n14759722	leather	n14759722	1614.0	an animal skin made smooth and flexible by removing the hair and then tanning	same	8.0
630	light (radiation)	Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED)	n05018103	brightness	n04952242	160.0	the location of a visual perception along a continuum from black to white	different	5.0
630	light (radiation)	Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED)	n05018103	light	n11473954	3505.0	(physics) electromagnetic radiation that can produce a visual sensation	different	5.0
630	light (radiation)	Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED)	n05018103	luminance	n05018103	3.0	the quality of being luminous; emitting or reflecting light	same	5.0
630	light (radiation)	Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED)	n05018103	luminosity	n05018103	29.0	the quality of being luminous; emitting or reflecting light	same	5.0
630	light (radiation)	Electromagnetic radiation that is capable of causing a visual sensation. (Source: CED)	n05018103	luminousness				different	5.0
631	livestock	Cattle, horses, and similar animals kept for domestic use especially on a farm.	n01887474	livestock	n01887474	183.0	any animals kept for use or profit	same	11.0
631	livestock	Cattle, horses, and similar animals kept for domestic use especially on a farm.	n01887474	stock	n13333833	1406.0	the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity)	different	11.0
632	lizard	Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms.	n01674464	lizard	n01674464	231.0	relatively long-bodied reptile with usually two pairs of legs and a tapering tail	same	12.0
633	market	Place of commercial activity in which articles are bought and sold.	n03722288	market	n01097292	2265.0	the world of commercial activity where goods and services are bought and sold	different	9.0
633	market	Place of commercial activity in which articles are bought and sold.	n03722288	marketplace	n01097292	149.0	the world of commercial activity where goods and services are bought and sold	different	9.0
633	market	Place of commercial activity in which articles are bought and sold.	n03722288	mart	n03722288	7.0	an area in a town where a public mercantile establishment is set up	same	9.0
634	meat	The edible flesh of animals, especially that of mammals.	n07649854	meat	n07649854	1418.0	the flesh of animals (including fishes and birds and snails) used as food	same	5.0
635	milk	The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.	n07844042	milk	n07844042	1214.0	a white nutritious liquid secreted by mammals and used as food by human beings	same	6.0
636	mill	A mill is a device that breaks solid materials into smaller pieces by grinding, crushing, or cutting.	n03765561	grinder	n03460040	25.0	a machine tool that polishes metal	different	9.0
636	mill	A mill is a device that breaks solid materials into smaller pieces by grinding, crushing, or cutting.	n03765561	mill	n03316406	349.0	a plant consisting of one or more buildings with facilities for manufacturing	different	9.0
640	mud	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)	n14956325	clay	n14813182	362.0	a very fine-grained soil that is plastic when moist but hard when fired	different	7.0
640	mud	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)	n14956325	mud	n14956325	829.0	water soaked soil; soft wet earth	same	7.0
641	mushroom	An organism belonging to a family of Basidiomycetes that are characterized by the production of spores on gills.	n13000891	mushroom	n07734744	262.0	fleshy body of any of numerous edible fungi	different	9.0
643	need (noun)	The fact or an instance of feeling the lack of something.	n9367991	need	v01188725	12635.0	have need of	different	4.0
643	need (noun)	The fact or an instance of feeling the lack of something.	n9367991	want	v01825237	31644.0	feel or have a desire for; want strongly	different	4.0
644	oak	Any tree of the genus Quercus in the order Fagales, characterized by simple, usually lobed leaves, scaly winter buds, a star-shaped pith, and its fruit, the acorn, which is a nut; the wood is tough, hard, and durable, generally having a distinct pattern.	n12268246	oak	n12268246	464.0	a deciduous tree of the genus Quercus; has acorns and lobed leaves	same	10.0
645	ocean	The mass of water occupying all of the Earth's surface not occupied by land, but excluding all lakes and inland seas.	n09376198	ocean	n09376198	1201.0	a large body of water constituting a principal part of the hydrosphere	same	4.0
